,VOL,AREA_F,APT_NUM,ST_NUM,KREIS,ZIPCODE,ROOF,YOC,POC,MINERAL
0,1328,119,5,5,10,8049,P,1933,1919 - 1945,325.0
1,1016,109,5,4,10,8049,P,1938,1919 - 1945,325.0
2,915,95,1,4,11,8050,P,1933,1919 - 1945,300.0
5,1658,160,6,5,9,8047,P,1941,1919 - 1945,224.55
6,1745,160,6,5,9,8047,P,1941,1919 - 1945,390.0
7,579,80,1,4,9,8048,M,1937,1919 - 1945,200.0
8,1804,143,4,5,11,8057,P,1906,1900 - 1919,318.18
10,1735,161,6,5,9,8048,P,1942,1919 - 1945,201.74
11,1705,161,6,5,9,8048,P,1942,1919 - 1945,198.26
15,619,72,3,4,11,8050,P,1929,1919 - 1945,99.54
16,936,103,3,4,11,8050,P,1929,1919 - 1945,147.62
17,431,65,1,4,11,8050,P,1939,1919 - 1945,100.0
18,1957,224,8,5,11,8052,F,1961,1961 - 1970,236.36
21,667,80,1,4,9,8048,P,1939,1919 - 1945,208.0
22,1376,138,3,5,10,8049,P,1949,1946 - 1960,418.03
23,2258,213,6,5,10,8049,P,1949,1946 - 1960,685.97
24,2147,238,9,5,2,8002,P,1952,1946 - 1960,270.96
25,2069,235,6,5,2,8002,P,1952,1946 - 1960,261.12
26,2119,237,7,5,2,8002,P,1952,1946 - 1960,267.43
27,351,51,1,4,9,8048,P,1947,1946 - 1960,47.95
28,381,50,1,4,9,8048,P,1947,1946 - 1960,52.05
29,2386,216,12,5,3,8003,P,1938,1919 - 1945,600.0
30,2250,216,12,5,3,8003,P,1938,1919 - 1945,1076.83
31,2006,183,7,6,7,8032,P,1945,1919 - 1945,602.26
33,2681,245,6,5,7,8032,P,1945,1919 - 1945,804.92
34,1218,90,3,5,6,8057,P,1921,1919 - 1945,53.53
35,1444,113,4,5,6,8057,P,1921,1919 - 1945,63.47
36,1744,174,6,5,11,8052,P,1950,1946 - 1960,837.66
37,1942,174,6,5,11,8052,P,1950,1946 - 1960,932.76
38,1863,179,6,5,11,8052,P,1950,1946 - 1960,894.81
39,1738,180,6,5,11,8052,P,1950,1946 - 1960,834.77
40,434,59,1,4,11,8052,P,1949,1946 - 1960,165.31
41,382,52,1,4,11,8052,P,1949,1946 - 1960,145.51
42,382,52,1,4,11,8052,P,1949,1946 - 1960,145.51
43,382,52,1,4,11,8052,P,1949,1946 - 1960,145.51
44,382,52,1,4,11,8052,P,1949,1946 - 1960,145.51
45,382,52,1,4,11,8052,P,1949,1946 - 1960,145.51
46,382,52,1,4,11,8052,P,1949,1946 - 1960,145.51
47,397,54,1,4,11,8052,P,1949,1946 - 1960,151.22
48,1841,170,6,5,11,8052,P,1949,1946 - 1960,701.24
49,1819,168,6,5,11,8052,P,1949,1946 - 1960,692.86
50,1819,168,6,5,11,8052,P,1949,1946 - 1960,692.86
51,1851,171,6,5,11,8052,P,1949,1946 - 1960,705.05
52,1828,170,6,5,11,8052,P,1949,1946 - 1960,696.29
53,1827,170,6,5,11,8052,P,1949,1946 - 1960,695.91
54,2227,171,6,5,11,8052,P,1949,1946 - 1960,848.27
55,2227,171,6,5,11,8052,P,1949,1946 - 1960,848.27
56,3217,247,9,5,11,8052,P,1960,1946 - 1960,1225.37
57,1869,171,6,5,11,8052,P,1949,1946 - 1960,711.91
58,1859,170,6,5,11,8052,P,1949,1946 - 1960,708.1
59,1837,168,9,5,11,8052,P,1960,1946 - 1960,699.72
60,1833,170,6,5,11,8052,P,1949,1946 - 1960,698.2
61,1822,169,6,5,11,8052,P,1949,1946 - 1960,694.01
62,1839,170,6,5,11,8052,P,1949,1946 - 1960,700.48
63,1828,169,6,5,11,8052,P,1949,1946 - 1960,696.29
64,1028,95,6,5,11,8052,P,1960,1946 - 1960,391.57
65,1827,170,6,5,11,8052,P,1949,1946 - 1960,695.91
66,1828,170,6,5,11,8052,P,1949,1946 - 1960,696.29
67,392,53,1,4,11,8052,P,1949,1946 - 1960,149.31
68,385,52,1,4,11,8052,P,1949,1946 - 1960,146.65
69,385,52,1,4,11,8052,P,1949,1946 - 1960,146.65
70,385,52,1,4,11,8052,P,1949,1946 - 1960,146.65
71,430,58,1,4,11,8052,P,1949,1946 - 1960,163.79
72,393,53,1,4,11,8052,P,1949,1946 - 1960,149.7
73,386,52,1,4,11,8052,P,1949,1946 - 1960,147.03
74,386,52,1,4,11,8052,P,1949,1946 - 1960,147.03
75,430,58,1,4,11,8052,P,1949,1946 - 1960,163.79
76,397,54,1,4,11,8052,P,1949,1946 - 1960,151.22
85,1811,189,3,5,6,8057,F,1931,1919 - 1945,151.27
88,348,109,1,2,7,8053,P,1960,1946 - 1960,104.19
89,2567,247,9,6,7,8053,P,1960,1946 - 1960,768.56
90,2597,246,9,6,7,8053,P,1960,1946 - 1960,777.54
101,2260,204,1,5,7,8032,M,1945,1919 - 1945,140.0
102,543,70,1,4,11,8050,P,1926,1919 - 1945,12.6
106,493,110,1,3,9,8048,P,1943,1919 - 1945,25.0
107,2000,205,9,5,3,8055,P,1960,1946 - 1960,626.81
108,2099,204,9,5,3,8055,P,1960,1946 - 1960,657.84
109,2223,203,9,5,3,8055,P,1960,1946 - 1960,696.7
111,1866,174,9,5,3,8055,P,1960,1946 - 1960,584.81
112,1796,174,9,5,3,8055,P,1960,1946 - 1960,562.87
114,3250,183,10,7,4,8004,P,1931,1919 - 1945,185.04
116,2420,168,8,6,4,8004,P,1931,1919 - 1945,137.78
117,2590,181,8,6,4,8004,P,1931,1919 - 1945,147.46
118,2420,168,8,6,4,8004,P,1931,1919 - 1945,137.78
119,2490,168,8,6,4,8004,P,1931,1919 - 1945,141.77
120,3030,204,8,6,4,8004,P,1931,1919 - 1945,172.51
121,1580,133,6,5,4,8004,P,1909,1900 - 1919,89.96
122,3030,205,8,6,4,8004,P,1932,1919 - 1945,172.51
123,2510,170,8,6,4,8004,P,1932,1919 - 1945,142.91
124,2510,170,8,6,4,8004,P,1932,1919 - 1945,142.91
125,2680,181,8,6,4,8004,P,1932,1919 - 1945,152.58
126,2540,170,7,6,4,8004,P,1932,1919 - 1945,144.61
127,2540,170,8,6,4,8004,P,1933,1919 - 1945,144.61
128,3040,201,8,6,4,8004,P,1933,1919 - 1945,173.08
129,2720,172,8,6,4,8004,P,1933,1919 - 1945,154.86
130,3445,199,10,7,4,8004,P,1931,1919 - 1945,196.14
131,3130,182,10,7,4,8004,P,1931,1919 - 1945,178.2
132,3570,205,10,7,4,8004,P,1931,1919 - 1945,203.26
133,3155,181,10,7,4,8004,P,1931,1919 - 1945,179.63
134,3090,205,8,6,4,8004,P,1933,1919 - 1945,175.93
135,3090,205,8,6,4,8004,P,1933,1919 - 1945,175.93
136,3090,206,8,6,4,8004,P,1933,1919 - 1945,175.93
137,2780,185,8,6,4,8004,P,1933,1919 - 1945,158.28
138,481,68,1,4,11,8052,P,1938,1919 - 1945,187.17
139,608,120,1,4,11,8052,M,1938,1919 - 1945,231.62
142,981,87,1,4,7,8053,P,1928,1919 - 1945,130.0
143,1664,181,5,5,2,8002,P,1953,1946 - 1960,105.75
144,2018,205,8,6,2,8002,P,1953,1946 - 1960,128.25
145,640,109,1,3,8,8008,P,1939,1919 - 1945,145.9
146,676,108,1,3,8,8008,P,1940,1919 - 1945,154.1
147,2008,224,5,5,9,8048,P,1945,1919 - 1945,377.0
148,1343,143,6,5,2,8038,P,1949,1946 - 1960,48.0
149,1430,148,3,5,9,8048,P,1907,1900 - 1919,288.0
151,1661,170,6,5,9,8048,P,1948,1946 - 1960,591.1
152,1644,169,6,5,9,8048,P,1948,1946 - 1960,585.05
153,1734,170,6,5,9,8048,P,1948,1946 - 1960,617.08
154,1986,194,6,5,9,8048,P,1948,1946 - 1960,706.76
155,485,94,1,3,9,8048,P,1941,1919 - 1945,50.0
161,622,95,1,3,9,8047,F,1950,1946 - 1960,147.69
162,697,88,2,4,12,8051,P,1904,1900 - 1919,108.0
163,1175,109,3,4,3,8055,P,1940,1919 - 1945,100.0
164,1561,158,1,5,6,8006,P,1923,1919 - 1945,149.0
165,74,30,1,1,11,8046,P,1941,1919 - 1945,9.45
166,598,61,1,4,11,8046,P,1941,1919 - 1945,76.37
167,111,44,1,1,11,8046,F,1941,1919 - 1945,14.18
172,548,63,2,5,6,8006,O,1919,1919 - 1945,136.0
173,1480,104,3,5,9,8048,P,1927,1919 - 1945,131.83
174,505,70,1,4,9,8048,P,1928,1919 - 1945,47.14
175,2260,177,8,5,7,8044,P,1934,1919 - 1945,827.27
176,1415,130,2,4,3,8055,P,1923,1919 - 1945,300.0
178,2898,271,6,5,10,8037,P,1948,1946 - 1960,260.0
179,3192,258,12,6,3,8045,P,1946,1946 - 1960,850.0
181,760,70,1,4,3,8045,P,1927,1919 - 1945,100.0
182,416,59,1,4,11,8052,P,1936,1919 - 1945,63.64
183,589,70,3,4,11,8050,P,1918,1900 - 1919,152.38
184,589,70,1,4,11,8050,P,1918,1900 - 1919,152.38
185,2310,216,4,6,9,8048,P,1929,1919 - 1945,150.0
187,1199,136,1,4,7,8044,P,1925,1919 - 1945,400.0
188,703,113,1,4,7,8053,P,1948,1946 - 1960,156.0
189,1339,149,6,5,7,8044,P,1951,1946 - 1960,195.0
190,2297,175,8,6,7,8032,O,1930,1919 - 1945,559.62
191,2451,176,11,6,7,8032,O,1930,1919 - 1945,596.39
192,2434,175,10,6,7,8032,O,1930,1919 - 1945,592.34
193,2352,174,8,6,7,8032,O,1930,1919 - 1945,572.76
194,2550,173,10,6,7,8032,O,1930,1919 - 1945,619.99
195,226,69,2,1,6,8057,P,1948,1946 - 1960,12.15
196,1729,165,6,5,6,8057,P,1948,1946 - 1960,92.97
197,1431,149,6,5,6,8057,P,1948,1946 - 1960,76.94
198,1721,165,6,5,6,8057,P,1948,1946 - 1960,92.54
199,1488,149,6,5,6,8057,P,1948,1946 - 1960,80.01
200,1720,166,6,5,6,8057,P,1948,1946 - 1960,92.48
201,1490,148,6,5,6,8057,P,1948,1946 - 1960,80.12
202,993,98,3,5,6,8057,P,1948,1946 - 1960,53.39
203,1523,150,6,5,6,8057,P,1947,1946 - 1960,81.89
204,1490,150,6,5,6,8057,P,1947,1946 - 1960,80.12
205,1110,151,4,4,6,8057,P,1947,1946 - 1960,59.68
206,1512,150,6,5,6,8057,P,1947,1946 - 1960,81.3
207,1496,149,6,5,6,8057,P,1947,1946 - 1960,80.44
208,1110,151,4,4,6,8057,P,1947,1946 - 1960,59.68
209,1454,151,6,5,6,8057,P,1946,1946 - 1960,78.18
210,1421,149,6,4,6,8057,P,1946,1946 - 1960,76.41
211,1417,149,6,4,6,8057,P,1946,1946 - 1960,76.19
212,2198,218,9,5,6,8057,P,1945,1919 - 1945,920.0
213,967,108,1,5,10,8049,P,1931,1919 - 1945,470.0
214,825,104,1,4,11,8052,P,1934,1919 - 1945,68.2
215,2240,208,9,5,9,8047,P,1940,1919 - 1945,40.0
218,1142,158,3,3,6,8057,M,1928,1919 - 1945,340.0
219,730,111,1,3,9,8055,P,1933,1919 - 1945,65.45
221,2272,208,6,5,9,8048,P,1950,1946 - 1960,175.97
222,2872,263,9,5,9,8048,P,1950,1946 - 1960,219.98
223,534,115,1,4,7,8053,P,1951,1946 - 1960,630.0
224,652,90,1,4,11,8052,P,1920,1919 - 1945,36.36
226,1430,211,1,2,2,8002,P,1926,1919 - 1945,211.73
227,1535,274,1,5,2,8002,F,1926,1919 - 1945,227.27
228,1475,163,1,3,7,8032,P,1925,1919 - 1945,416.67
229,593,70,1,4,9,8048,P,1912,1900 - 1919,260.0
230,1089,169,1,4,7,8044,P,1950,1946 - 1960,12.5
231,1748,134,1,5,7,8044,P,1928,1919 - 1945,212.73
232,777,91,1,4,6,8006,O,1925,1919 - 1945,104.37
233,563,66,1,4,6,8006,O,1925,1919 - 1945,75.63
234,583,78,1,4,10,8049,P,1908,1900 - 1919,96.0
235,1343,178,2,4,10,8049,M,1929,1919 - 1945,350.0
236,1384,177,2,4,11,8050,P,1957,1946 - 1960,230.22
238,971,117,1,4,9,8048,M,1930,1919 - 1945,230.0
239,530,84,1,3,7,8053,P,1952,1946 - 1960,195.0
241,750,87,1,4,9,8048,P,1926,1919 - 1945,177.27
242,375,55,1,2,9,8048,P,1943,1919 - 1945,50.0
243,1705,166,6,5,9,8048,P,1951,1946 - 1960,550.0
244,1901,185,6,5,2,8038,P,1949,1946 - 1960,195.61
245,1978,181,6,5,2,8038,P,1949,1946 - 1960,203.53
246,1952,185,6,4,2,8038,P,1949,1946 - 1960,200.86
248,1850,205,12,6,6,8006,P,1937,1919 - 1945,200.0
256,1170,125,2,4,10,8037,P,1925,1919 - 1945,65.0
257,743,120,2,4,11,8050,M,1920,1919 - 1945,261.0
258,850,141,1,3,2,8038,P,1931,1919 - 1945,250.0
259,1270,146,1,3,11,8050,P,1909,1900 - 1919,750.0
260,1253,171,1,4,11,8050,M,1938,1919 - 1945,500.0
261,1807,159,11,5,11,8050,P,1939,1919 - 1945,255.34
262,1873,158,6,5,11,8050,P,1939,1919 - 1945,264.66
265,424,98,1,2,11,8050,F,1906,1900 - 1919,54.33
267,1434,173,6,4,10,8049,P,1955,1946 - 1960,428.59
268,1409,170,6,4,10,8049,P,1955,1946 - 1960,421.28
269,2177,210,9,5,10,8049,P,1955,1946 - 1960,643.33
270,1361,178,4,4,10,8049,P,1955,1946 - 1960,407.23
271,882,135,1,4,10,8049,P,1934,1919 - 1945,195.0
272,615,83,1,4,10,8049,P,1933,1919 - 1945,130.0
273,1600,191,5,5,10,8049,P,1951,1946 - 1960,230.77
274,1259,161,4,4,11,8046,P,1957,1946 - 1960,554.25
275,1516,157,6,5,11,8046,P,1957,1946 - 1960,667.39
276,1460,156,6,4,11,8046,P,1957,1946 - 1960,642.74
277,802,115,2,3,11,8046,P,1957,1946 - 1960,353.07
278,1256,160,4,4,11,8046,P,1957,1946 - 1960,552.93
279,1796,187,6,5,11,8046,P,1956,1946 - 1960,790.66
280,1763,186,6,5,11,8046,P,1956,1946 - 1960,776.13
281,1345,187,4,4,11,8046,P,1956,1946 - 1960,592.11
282,1306,187,4,4,11,8046,P,1956,1946 - 1960,574.94
283,1145,162,4,4,11,8046,P,1956,1946 - 1960,504.07
284,1350,144,6,5,11,8046,P,1956,1946 - 1960,594.31
285,1357,145,6,4,11,8046,P,1956,1946 - 1960,597.4
286,961,131,1,4,11,8046,P,1949,1946 - 1960,671.14
287,700,136,1,3,11,8046,F,1972,1971 - 1980,488.86
288,552,88,1,4,10,8049,P,1950,1946 - 1960,118.18
289,447,68,1,4,10,8049,P,1939,1919 - 1945,141.82
290,870,121,2,4,10,8049,P,1939,1919 - 1945,325.0
292,915,103,1,4,2,8002,P,1944,1919 - 1945,200.0
293,800,86,1,4,6,8006,O,1923,1919 - 1945,390.0
294,843,91,2,4,11,8052,P,1935,1919 - 1945,642.86
295,1387,202,5,4,11,8052,P,1940,1919 - 1945,250.0
297,2278,188,8,6,9,8048,P,1930,1919 - 1945,123.53
298,2301,187,8,6,9,8048,P,1930,1919 - 1945,124.77
300,2701,215,13,6,11,8052,P,1939,1919 - 1945,600.0
302,1290,271,1,3,11,8052,P,1950,1946 - 1960,22.92
303,2235,172,8,6,11,8052,P,1948,1946 - 1960,39.71
304,2235,172,8,6,11,8052,P,1948,1946 - 1960,39.71
305,2249,173,8,6,11,8052,P,1948,1946 - 1960,39.96
306,2247,173,8,6,11,8052,P,1948,1946 - 1960,39.92
307,2247,173,8,6,11,8052,P,1948,1946 - 1960,39.92
308,2261,174,8,6,11,8052,P,1948,1946 - 1960,40.17
309,1765,170,6,5,11,8052,P,1948,1946 - 1960,31.36
310,1764,170,6,5,11,8052,P,1948,1946 - 1960,31.34
312,1070,134,1,5,9,8047,P,1930,1919 - 1945,400.0
313,1326,134,6,5,3,8055,P,1933,1919 - 1945,322.93
314,1347,132,6,5,3,8055,P,1933,1919 - 1945,328.04
315,1330,137,6,5,3,8055,P,1934,1919 - 1945,323.9
316,1335,140,6,5,3,8055,P,1934,1919 - 1945,325.12
317,1945,174,5,5,6,8057,P,1934,1919 - 1945,190.55
318,1945,174,6,5,6,8057,P,1934,1919 - 1945,190.55
319,1945,175,5,5,6,8057,P,1934,1919 - 1945,190.55
320,1945,175,6,5,6,8057,P,1934,1919 - 1945,190.55
321,2790,251,6,5,6,8057,P,1933,1919 - 1945,273.34
322,1723,174,6,4,6,8057,P,1934,1919 - 1945,168.8
323,2167,175,6,5,6,8057,P,1934,1919 - 1945,212.3
324,2790,251,6,4,6,8057,P,1933,1919 - 1945,273.34
326,863,104,2,4,9,8048,P,1914,1900 - 1919,244.0
327,698,79,1,4,10,8049,P,1933,1919 - 1945,140.0
328,1737,154,6,5,2,8038,P,1950,1946 - 1960,1221.28
329,1760,156,6,5,2,8038,P,1950,1946 - 1960,1237.45
330,1754,155,6,5,2,8038,P,1950,1946 - 1960,1233.23
331,1743,154,6,5,2,8038,P,1950,1946 - 1960,1225.5
334,1799,160,6,5,2,8038,P,1950,1946 - 1960,1264.87
340,530,64,1,4,2,8038,P,1938,1919 - 1945,78.0
342,2282,198,6,5,9,8047,P,1938,1919 - 1945,230.0
343,1770,221,6,4,12,8051,P,1955,1946 - 1960,195.0
345,1010,176,1,5,12,8050,P,1953,1946 - 1960,180.0
346,424,73,1,4,10,8049,P,1936,1919 - 1945,53.3
347,856,83,1,4,10,8049,P,1933,1919 - 1945,93.6
348,461,63,1,4,6,8057,P,1913,1900 - 1919,26.0
349,1501,151,6,5,6,8057,P,1927,1919 - 1945,349.05
350,499,192,1,1,6,8057,F,1930,1919 - 1945,121.71
351,1848,181,3,5,10,8037,P,1934,1919 - 1945,300.0
353,1226,126,2,5,12,8051,O,1932,1919 - 1945,650.0
363,1955,246,4,4,7,8053,M,1946,1946 - 1960,26.0
364,1178,106,3,5,11,8046,P,1968,1961 - 1970,390.0
365,1125,128,2,4,2,8038,P,1936,1919 - 1945,200.0
369,420,58,1,4,7,8044,P,1935,1919 - 1945,65.0
370,551,76,5,4,7,8053,P,1965,1961 - 1970,188.36
371,780,112,2,4,7,8053,P,1965,1961 - 1970,266.64
372,1596,238,1,3,9,8048,P,1949,1946 - 1960,300.0
373,1672,192,4,4,9,8048,P,1950,1946 - 1960,342.5
374,1372,163,4,4,9,8048,P,1950,1946 - 1960,281.34
375,1388,165,4,4,9,8048,P,1950,1946 - 1960,284.6
376,2120,193,6,5,9,8048,P,1950,1946 - 1960,433.61
377,1680,192,5,4,9,8048,P,1950,1946 - 1960,344.13
378,1351,186,4,3,9,8048,P,1950,1946 - 1960,277.05
379,2009,166,6,5,9,8048,P,1950,1946 - 1960,411.06
380,1680,195,5,4,9,8048,P,1950,1946 - 1960,344.13
381,1584,184,4,4,9,8048,P,1950,1946 - 1960,324.57
382,1776,165,6,5,9,8048,P,1950,1946 - 1960,363.68
383,1680,194,5,5,9,8048,P,1950,1946 - 1960,344.13
384,1579,184,4,4,9,8048,P,1950,1946 - 1960,323.56
385,1781,166,6,5,9,8048,P,1950,1946 - 1960,364.7
386,1527,167,5,4,9,8048,P,1950,1946 - 1960,312.96
387,1525,164,5,4,9,8048,P,1950,1946 - 1960,312.55
388,1280,162,4,4,9,8048,P,1950,1946 - 1960,262.56
389,1590,161,4,5,9,8048,P,1950,1946 - 1960,325.8
390,1529,166,5,4,9,8048,P,1950,1946 - 1960,313.36
394,329,85,1,2,9,8048,P,1950,1946 - 1960,62.95
395,1162,175,4,3,9,8048,P,1949,1946 - 1960,221.05
396,1227,176,4,3,9,8048,P,1949,1946 - 1960,233.31
397,300,84,1,2,9,8048,P,1950,1946 - 1960,57.42
398,1164,174,4,3,9,8048,P,1949,1946 - 1960,221.43
399,1192,174,5,3,9,8048,P,1949,1946 - 1960,226.71
400,327,84,1,2,9,8048,P,1950,1946 - 1960,62.57
401,1143,175,4,3,9,8048,P,1949,1946 - 1960,217.47
402,1172,176,5,3,9,8048,P,1949,1946 - 1960,222.94
403,1168,175,4,3,9,8048,P,1949,1946 - 1960,222.18
404,1202,173,5,3,9,8048,P,1949,1946 - 1960,228.6
405,1801,179,6,4,9,8048,P,1950,1946 - 1960,341.08
406,1953,183,6,4,9,8048,P,1950,1946 - 1960,369.48
